# OSRS Items List - Format: item_id,item_name
# This file contains common OSRS items with correct wiki names

# === FOOD (Cooked) ===
385,Shark
373,Swordfish
379,Lobster
361,Tuna
329,Salmon
333,Trout
317,Shrimps
7946,Monkfish
3144,Cooked karambwan
389,Manta ray
7223,Dark crab
13441,Anglerfish

# === FOOD (Raw) ===
383,Raw shark
371,Raw swordfish
377,Raw lobster
359,Raw tuna
331,Raw salmon
335,Raw trout
317,Raw shrimps
7944,Raw monkfish
3142,Raw karambwan
387,Raw manta ray
13439,Raw anglerfish

# === POTIONS (Attack) ===
2428,Attack potion(4)
121,Attack potion(3)
123,Attack potion(2)
125,Attack potion(1)

# === POTIONS (Strength) ===
113,Strength potion(4)
115,Strength potion(3)
117,Strength potion(2)
119,Strength potion(1)

# === POTIONS (Defence) ===
2432,Defence potion(4)
133,Defence potion(3)
135,Defence potion(2)
137,Defence potion(1)

# === POTIONS (Super Attack) ===
2436,Super attack(4)
145,Super attack(3)
147,Super attack(2)
149,Super attack(1)

# === POTIONS (Super Strength) ===
2440,Super strength(4)
157,Super strength(3)
159,Super strength(2)
161,Super strength(1)

# === POTIONS (Super Defence) ===
2442,Super defence(4)
163,Super defence(3)
165,Super defence(2)
167,Super defence(1)

# === POTIONS (Super Combat) ===
12695,Super combat potion(4)
12697,Super combat potion(3)
12699,Super combat potion(2)
12701,Super combat potion(1)

# === POTIONS (Ranging) ===
2444,Ranging potion(4)
169,Ranging potion(3)
171,Ranging potion(2)
173,Ranging potion(1)

# === POTIONS (Super Ranging) ===
11722,Super ranging(4)
11724,Super ranging(3)
11726,Super ranging(2)
11728,Super ranging(1)

# === POTIONS (Magic) ===
3040,Magic potion(4)
3042,Magic potion(3)
3044,Magic potion(2)
3046,Magic potion(1)

# === POTIONS (Prayer) ===
2434,Prayer potion(4)
139,Prayer potion(3)
141,Prayer potion(2)
143,Prayer potion(1)

# === POTIONS (Super Restore) ===
3024,Super restore(4)
3026,Super restore(3)
3028,Super restore(2)
3030,Super restore(1)

# === POTIONS (Antifire) ===
2452,Antifire potion(4)
2454,Antifire potion(3)
2456,Antifire potion(2)
2458,Antifire potion(1)

# === POTIONS (Extended Antifire) ===
11951,Extended antifire(4)
11953,Extended antifire(3)
11955,Extended antifire(2)
11957,Extended antifire(1)

# === POTIONS (Super Antifire) ===
21978,Super antifire potion(4)
21981,Super antifire potion(3)
21984,Super antifire potion(2)
21987,Super antifire potion(1)

# === POTIONS (Extended Super Antifire) ===
22209,Extended super antifire(4)
22212,Extended super antifire(3)
22215,Extended super antifire(2)
22218,Extended super antifire(1)

# === POTIONS (Antipoison) ===
2446,Antipoison(4)
175,Antipoison(3)
177,Antipoison(2)
179,Antipoison(1)

# === POTIONS (Super Antipoison) ===
2448,Super antipoison(4)
181,Super antipoison(3)
183,Super antipoison(2)
185,Super antipoison(1)

# === POTIONS (Antidote+) ===
5943,Antidote+(4)
5945,Antidote+(3)
5947,Antidote+(2)
5949,Antidote+(1)

# === POTIONS (Antidote++) ===
5952,Antidote++(4)
5954,Antidote++(3)
5956,Antidote++(2)
5958,Antidote++(1)

# === POTIONS (Energy) ===
3008,Energy potion(4)
3010,Energy potion(3)
3012,Energy potion(2)
3014,Energy potion(1)

# === POTIONS (Super Energy) ===
3016,Super energy(4)
3018,Super energy(3)
3020,Super energy(2)
3022,Super energy(1)

# === POTIONS (Stamina) ===
12625,Stamina potion(4)
12627,Stamina potion(3)
12629,Stamina potion(2)
12631,Stamina potion(1)

# === POTIONS (Saradomin Brew) ===
6685,Saradomin brew(4)
6687,Saradomin brew(3)
6689,Saradomin brew(2)
6691,Saradomin brew(1)

# === WEAPONS (Melee - Dragon) ===
4587,Dragon scimitar
1249,Dragon dagger
1305,Dragon longsword
3204,Dragon halberd
21009,Dragon hunter lance
22978,Dragon claws

# === WEAPONS (Melee - Abyssal) ===
4151,Abyssal whip
13265,Abyssal tentacle
13271,Abyssal dagger

# === WEAPONS (Melee - Godswords) ===
11802,Armadyl godsword
11804,Bandos godsword
11806,Saradomin godsword
11808,Zamorak godsword

# === WEAPONS (Ranged) ===
861,Magic shortbow
859,Magic longbow
11235,Dark bow
12926,Toxic blowpipe
19481,Heavy ballista
21012,Dragon hunter crossbow
12765,Armadyl crossbow
11785,Dragon crossbow

# === WEAPONS (Magic) ===
1383,Staff of fire
1381,Staff of water
1385,Staff of air
1387,Staff of earth
6914,Master wand
21006,Kodai wand
12904,Toxic staff of the dead
11791,Staff of the dead
22323,Tumeken's shadow
25739,Sanguinesti staff

# === ARMOUR (Helmets) ===
1163,Rune full helm
1147,Adamant full helm
1121,Mithril full helm
1101,Steel full helm
1075,Iron full helm
1155,Bronze full helm
